state	bin	ptS0	ptS1	ptS2	ptS3	ptS4
S1	8	0.00015778235027637	0.958591520786233	0.0270089192424993	0.00528259937693333	0.00895917824405849
S1	9	0.000494240366559983	0.907245995721525	0.0496465834960462	0.0118708980770818	0.0307422823387867
S1	10	0.00099304047232321	0.874365514505059	0.0484244110514007	0.0180188417977564	0.0581981921734612
S1	11	0.000859529785949774	0.72240977967437	0.0961415449878439	0.0366910694846093	0.143898076067227
S1	12	0.00124528541167563	0.307010340473499	0.213257364792689	0.0881796817473755	0.39030732757476
S1	13	0	0.69808110048461	0.0655277408885925	0.0312841941339053	0.205106964492893
S1	14	0	0	0.0740844919376322	0.0964618647139372	0.829453643348431
S1	15	0	0	0	0.149559879645277	0.850440120354723
ALL	NA	0.00830909846281678	0.981408392189447	0.0073743248857499	0.000934773577066888	0.00197341088491899
S2	1	0.0179212143445022	0.021633594213553	0.958512003993111	0.00168691572125871	0.000246271727575418
S2	2	0.00549200625760239	0.0145150813306466	0.97720595305739	0.00219000165143819	0.000596957702922852
S2	3	0.00275677445721406	0.0187803868559285	0.973839813943924	0.00367494671395383	0.000948078028979276
S2	4	0.00123293424831824	0.0230823746004977	0.970306048305927	0.00405007622812712	0.00132856661713033
S2	5	0.000270384645041056	0.0181168756497047	0.975535719151102	0.00437084269132715	0.00170617786282483
S2	6	8.61505775939e-05	0.0102874184557358	0.983788352793055	0.00376909870721345	0.00206897946640212
S2	7	6.68325671230698e-05	0.0068302099591212	0.982816289195689	0.00700618499604977	0.00328048328201683
S2	8	1.76567338993773e-05	0.00358629314403703	0.982902122761778	0.00862308111355886	0.0048708462467268
S2	9	2.99568113805382e-05	0.00183841131250502	0.978583423375018	0.0104955159404275	0.00905269256066893
S2	10	6.08352176659705e-05	0.00179077651238218	0.964725105319484	0.0161019262854469	0.0173213566650215
S2	11	2.64270737111631e-05	0.000742560790280026	0.961280997769385	0.0164555105104732	0.0214945038561509
S2	12	1.71656026345497e-05	0.000141482722927595	0.955972299969583	0.0177305221731309	0.0261385295317242
S2	13	0	0.00102424036074069	0.93521629366454	0.0200273538013636	0.0437321121733561
S2	14	0	0	0.815883001585412	0.0476505546285103	0.136466443786078
S2	15	0	0	0	0.345558067632454	0.654441932367546
ALL	NA	0.00337428620868662	0.0133241045163523	0.973870911922478	0.00553729018861395	0.00389340716386918
S3	1	0.031277862197237	0.0176526569948629	0.0436948678163784	0.905884578679763	0.0014900343117586
S3	2	0.00769503357428473	0.00950847228247551	0.0357625802722458	0.944134333568888	0.00289958030210598
S3	3	0.00235421505957473	0.00749827228516406	0.021721792930223	0.96561898696248	0.00280673276255826
S3	4	0.000957148967883012	0.00837783647614945	0.0196748578524788	0.967414671055307	0.00357548564818185
S3	5	0.000195225059872944	0.00611573444011852	0.018397548719179	0.971020881635935	0.00427061014489467
S3	6	7.19438993951689e-05	0.00401655724425933	0.0214585662924811	0.968463246716584	0.00598968584728041
S3	7	3.04335154078919e-05	0.00145415200830756	0.0116895978238409	0.98164719847678	0.00517861817566352
S3	8	6.54567175687328e-06	0.000621586269790716	0.00951737913438114	0.98359469038175	0.00625979854232123
S3	9	9.11324947883093e-06	0.000261476181349768	0.00777568708837887	0.982406710115334	0.00954701336545837
S3	10	1.20692705201954e-05	0.000166103628859029	0.00499911102183244	0.982909748925705	0.0119129671530831
S3	11	5.11840046063056e-06	6.7240196609906e-05	0.00486293863397853	0.980632763409285	0.0144319393596664
S3	12	3.0811727392786e-06	1.18733201180807e-05	0.00448193492301556	0.979238254366202	0.0162648562179251
S3	13	0	7.55466172889656e-05	0.00385368908151836	0.972153367988095	0.023917396313098
S3	14	0	0	0.00140608036199547	0.967379377380611	0.031214542257393
S3	15	0	0	0	0.979107863646919	0.0208921363530811
ALL	NA	0.00192564064583025	0.00355502888460969	0.0145163679454896	0.97230039994075	0.00770256258332099
S4	1	0.0172366628590373	0.0289815098983562	0.0415247650629605	0.0489405640715949	0.863316498108051
S4	2	0.00237589123052424	0.00874624382774223	0.0190416908555975	0.0285778666540113	0.941258307432125
S4	3	0.000757531681673174	0.00718804312886631	0.0120534387538458	0.0304607395161597	0.949540246919455
S4	4	0.000244553601311389	0.00637707032980558	0.00866895521919348	0.0242318836702186	0.960477537179471
S4	5	4.21165926101396e-05	0.00393062020545123	0.00684444524913436	0.0205364896902386	0.968646328262566
S4	6	1.11689987612576e-05	0.00185767198081308	0.00574488845600598	0.0147395217528489	0.977646748811571
S4	7	5.46831693608051e-06	0.000778405980884787	0.00362211100062804	0.0172916711261811	0.97830234357537
S4	8	9.77535951833468e-07	0.000276550678668338	0.00245107451747034	0.0144004037996502	0.982870993468259
S4	9	8.98034190406258e-07	7.67620467653081e-05	0.00132135349091203	0.00949053972266258	0.98911044670547
S4	10	9.55566825601396e-07	3.917905557311e-05	0.000682548400115214	0.00762910625753463	0.991648210719951
S4	11	3.3501533783272e-07	1.31115550729496e-05	0.000548895723108021	0.00629240701776136	0.99314525068872
